Effective date,S&P Global High Yield Sukuk Index
41698.0,102.12
41701.0,102.41
41702.0,102.12
41703.0,102.17
41704.0,102.08
41705.0,101.89
41708.0,102.67
41709.0,102.73
41710.0,102.78
41711.0,103.05
41712.0,103.14
41715.0,103.15
41716.0,103.21
41717.0,103.14
41718.0,102.86
41719.0,102.99
41722.0,102.93
41723.0,102.98
41724.0,103.59
41725.0,103.78
41726.0,103.76
41729.0,103.82
41730.0,103.83
41731.0,103.6
41732.0,103.62
41733.0,104.2
41736.0,104.27
41737.0,104.17
41738.0,104.14
41739.0,104.54
41740.0,104.57
41743.0,104.37
41744.0,104.48
41745.0,104.29
41746.0,104.26
41747.0,104.26
41750.0,104.28
41751.0,104.2
41752.0,104.28
41753.0,104.26
41754.0,104.39
41757.0,104.96
41758.0,105.02
41759.0,105.12
41760.0,105.3
41761.0,105.26
41764.0,105.23
41765.0,105.21
41766.0,105.39
41767.0,105.61
41768.0,105.62
41771.0,105.66
41772.0,105.83
41773.0,106.06
41774.0,106.16
41775.0,106.15
41778.0,106.32
41779.0,106.3
41780.0,106.27
41781.0,106.25
41782.0,106.33
41785.0,106.79
41786.0,106.74
41787.0,106.85
41788.0,107.19
41789.0,107.22
41792.0,107.1
41793.0,107.28
41794.0,107.36
41795.0,107.44
41796.0,107.5
41799.0,107.82
41800.0,107.83
41801.0,107.79
41802.0,107.74
41803.0,107.71
41806.0,107.62
41807.0,107.57
41808.0,107.52
41809.0,107.67
41810.0,107.7
41813.0,107.73
41814.0,107.56
41815.0,107.7
41816.0,107.66
41817.0,107.49
41820.0,107.51
41821.0,107.59
41822.0,107.4
41823.0,107.39
41824.0,107.53
41827.0,107.53
41828.0,107.7
41829.0,107.63
41830.0,107.64
41831.0,107.64
41834.0,107.54
41835.0,107.69
41836.0,107.71
41837.0,107.86
41838.0,107.77
41841.0,107.84
41842.0,107.86
41843.0,107.95
41844.0,107.98
41845.0,108.1
41848.0,108.07
41849.0,108.06
41850.0,108.05
41851.0,107.86
41852.0,107.89
41855.0,107.84
41856.0,107.75
41857.0,107.76
41858.0,107.65
41859.0,107.52
41862.0,107.21
41863.0,107.18
41864.0,107.37
41865.0,107.38
41866.0,107.6
41869.0,107.84
41870.0,107.91
41871.0,107.99
41872.0,108.13
41873.0,108.07
41876.0,108.18
41877.0,108.28
41878.0,108.17
41879.0,108.2
41880.0,108.4
41883.0,108.53
41884.0,108.42
41885.0,108.68
41886.0,108.53
41887.0,108.03
41890.0,108.45
41891.0,108.33
41892.0,108.14
41893.0,108.08
41894.0,107.88
41897.0,107.93
41898.0,107.76
41899.0,107.63
41900.0,107.42
41901.0,107.79
41904.0,107.97
41905.0,107.94
41906.0,107.96
41907.0,108.05
41908.0,107.91
41911.0,107.61
41912.0,107.36
41913.0,107.44
41914.0,107.22
41915.0,107.18
41918.0,107.4
41919.0,107.4
41920.0,107.42
41921.0,107.45
41922.0,107.59
41925.0,107.64
41926.0,107.58
41927.0,107.74
41928.0,107.96
41929.0,107.92
41932.0,108.08
41933.0,108.24
41934.0,108.54
41935.0,108.35
41936.0,108.33
41939.0,108.33
41940.0,108.39
41941.0,108.57
41942.0,108.37
41943.0,108.44
41946.0,108.51
41947.0,108.63
41948.0,108.6
41949.0,108.69
41950.0,108.71
41953.0,108.57
41954.0,108.77
41955.0,108.73
41956.0,108.78
41957.0,108.68
41960.0,109.03
41961.0,109.0
41962.0,109.05
41963.0,109.07
41964.0,109.05
41967.0,109.11
41968.0,109.12
41969.0,109.18
41970.0,109.22
41971.0,109.51
41974.0,109.5
41975.0,109.43
41976.0,109.46
41977.0,109.48
41978.0,109.63
41981.0,109.55
41982.0,109.45
41983.0,109.46
41984.0,109.32
41985.0,109.3
41988.0,108.85
41989.0,108.18
41990.0,108.07
41991.0,107.86
41992.0,107.85
41995.0,107.84
41996.0,107.86
41997.0,107.8
41999.0,107.85
42002.0,107.96
42003.0,108.06
42004.0,108.09
42006.0,108.26
42009.0,108.65
42010.0,108.74
42011.0,108.95
42012.0,109.02
42013.0,109.23
42016.0,109.23
42017.0,109.19
42018.0,109.23
42019.0,109.49
42020.0,109.93
42023.0,109.99
42024.0,110.08
42025.0,110.18
42026.0,110.07
42027.0,110.13
42030.0,110.0
42031.0,109.87
42032.0,110.43
42033.0,110.41
42034.0,110.44
42037.0,110.63
42038.0,110.69
42039.0,110.68
42040.0,111.33
42041.0,111.38
42044.0,111.55
42045.0,111.56
42046.0,111.35
42047.0,110.81
42048.0,111.35
42051.0,111.58
42052.0,111.59
42053.0,111.49
42054.0,111.57
42055.0,111.47
42058.0,111.57
42059.0,111.6
42060.0,111.45
42061.0,111.49
42062.0,111.51
42065.0,111.59
42066.0,111.6
42067.0,112.16
42068.0,112.18
42069.0,112.15
42072.0,112.59
42073.0,112.61
42074.0,112.03
42075.0,112.0
42076.0,111.97
42079.0,112.1
42080.0,111.94
42081.0,111.94
42082.0,112.13
42083.0,112.59
42086.0,112.7
42087.0,112.72
42088.0,112.47
42089.0,112.66
42090.0,112.76
42093.0,112.81
42094.0,112.26
42095.0,112.32
42096.0,112.55
42097.0,112.58
42100.0,112.61
42101.0,112.76
42102.0,112.99
42103.0,113.03
42104.0,113.22
42107.0,113.28
42108.0,113.3
42109.0,113.45
42110.0,113.48
42111.0,113.59
42114.0,113.68
42115.0,113.57
42116.0,113.79
42117.0,113.62
42118.0,113.75
42121.0,113.82
42122.0,113.62
42123.0,113.46
42124.0,113.5
